GENESIS-Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Deutsche;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer;Ausländer
;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2005;64-Jährige;37362;410859;23330;45282;-;-;-;25455;383151;88738;55874;-;-;-;1783;26284;1240;2803;-;-;-;1283;16126;3481;2294;-;-;-
31.12.2005;65-Jährige;37445;430371;27702;44090;-;-;-;26799;396787;106444;55939;-;-;-;1752;27377;1516;2838;-;-;-;1214;16726;4081;2215;-;-;-
31.12.2005;66-Jährige;34394;423439;28753;39740;-;-;-;26787;385556;114644;51939;-;-;-;1523;24503;1361;2511;-;-;-;1070;14196;3851;2000;-;-;-
31.12.2005;67-Jährige;30335;391886;29644;34198;-;-;-;25957;349588;119076;45933;-;-;-;1456;22660;1363;2210;-;-;-;1117;13298;3950;1969;-;-;-
31.12.2005;68-Jährige;26555;362893;30084;29331;-;-;-;25149;317507;122828;40614;-;-;-;1418;19727;1295;1908;-;-;-;1009;11587;3752;1761;-;-;-
31.12.2005;69-Jährige;24434;347468;31827;26379;-;-;-;25033;300396;132633;37281;-;-;-;1158;17179;1174;1726;-;-;-;866;9985;3689;1550;-;-;-
31.12.2005;70-Jährige;21732;330912;33907;23220;-;-;-;24738;277724;141872;33980;-;-;-;977;14239;976;1383;-;-;-;779;8317;3615;1311;-;-;-
31.12.2005;71-Jährige;18397;299616;33596;19886;-;-;-;23450;246009;143743;30152;-;-;-;911;13647;1142;1341;-;-;-;718;7318;3265;1158;-;-;-
31.12.2005;72-Jährige;14097;232603;29135;14264;-;-;-;19945;187131;126465;22585;-;-;-;881;12247;1084;1167;-;-;-;631;6721;3244;1115;-;-;-
31.12.2005;73-Jährige;12833;225279;31474;12961;-;-;-;20855;177646;135064;21416;-;-;-;646;9798;990;977;-;-;-;567;5831;3013;990;-;-;-
31.12.2005;74-Jährige;12192;221258;34693;11528;-;-;-;22379;170868;148209;20938;-;-;-;634;8472;872;870;-;-;-;544;4686;3055;846;-;-;-
31.12.2005;75-Jährige;11966;221069;39760;11051;-;-;-;24291;165854;167812;21415;-;-;-;590;7618;936;730;-;-;-;569;4670;3400;875;-;-;-
31.12.2005;76-Jährige;10402;204023;40232;9461;-;-;-;24860;151224;169698;20121;-;-;-;530;6046;797;656;-;-;-;535;3973;2919;774;-;-;-
31.12.2005;77-Jährige;9329;190750;42345;8851;-;-;-;25599;137200;176625;19485;-;-;-;395;5273;759;619;-;-;-;512;3163;2965;690;-;-;-
31.12.2005;78-Jährige;7789;159761;40063;7041;-;-;-;25501;118677;175638;17665;-;-;-;485;4510;741;441;-;-;-;486;2887;3182;603;-;-;-
31.12.2005;79-Jährige;6545;138204;38197;5937;-;-;-;26843;105190;185542;17831;-;-;-;417;3827;766;438;-;-;-;441;2451;3004;605;-;-;-
31.12.2005;80-Jährige;5770;119212;37766;5075;-;-;-;28260;90133;193913;17368;-;-;-;388;3287;647;386;-;-;-;469;2089;3076;571;-;-;-
31.12.2005;81-Jährige;4740;94662;32174;4135;-;-;-;27173;75165;187034;15417;-;-;-;332;2974;588;389;-;-;-;391;1891;2879;489;-;-;-
31.12.2005;82-Jährige;4070;80820;31691;3610;-;-;-;26276;61288;183480;14331;-;-;-;315;2466;618;321;-;-;-;442;1533;2743;472;-;-;-
31.12.2005;83-Jährige;3982;75047;32773;3165;-;-;-;25170;51542;186650;14301;-;-;-;259;2246;611;318;-;-;-;353;1224;2700;373;-;-;-
31.12.2005;84-Jährige;3581;66374;32484;3032;-;-;-;23671;44114;190034;13672;-;-;-;253;1846;545;243;-;-;-;325;1100;2376;327;-;-;-
31.12.2005;85 Jahre und mehr;19359;159372;170003;11672;-;-;-;100894;98962;867930;48289;-;-;-;2602;10145;4890;1353;-;-;-;2967;5105;17418;1849;-;-;-
31.12.2006;unter 1 Jahr;331216;-;-;-;-;-;-;313760;-;-;-;-;-;-;14655;-;-;-;-;-;-;13501;-;-;-;-;-;-
31.12.2006;1-Jährige;337412;-;-;-;-;-;-;320632;-;-;-;-;-;-;15602;-;-;-;-;-;-;14852;-;-;-;-;-;-
31.12.2006;2-Jährige;344181;-;-;-;-;-;-;327001;-;-;-;-;-;-;19162;-;-;-;-;-;-;18014;-;-;-;-;-;-
31.12.2006;3-Jährige;344080;-;-;-;-;-;-;326505;-;-;-;-;-;-;20173;-;-;-;-;-;-;19461;-;-;-;-;-;-
31.12.2006;4-Jährige;349712;-;-;-;-;-;-;332101;-;-;-;-;-;-;21643;-;-;-;-;-;-;20483;-;-;-;-;-;-
31.12.2006;5-Jährige;357387;-;-;-;-;-;-;339309;-;-;-;-;-;-;22822;-;-;-;-;-;-;21499;-;-;-;-;-;-
31.12.2006;6-Jährige;370816;-;-;-;-;-;-;354542;-;-;-;-;-;-;24603;-;-;-;-;-;-;23589;-;-;-;-;-;-
31.12.2006;7-Jährige;358339;-;-;-;-;-;-;338535;-;-;-;-;-;-;40551;-;-;-;-;-;-;38612;-;-;-;-;-;-
31.12.2006;8-Jährige;364743;-;-;-;-;-;-;346260;-;-;-;-;-;-;41742;-;-;-;-;-;-;39785;-;-;-;-;-;-
31.12.2006;9-Jährige;376518;-;-;-;-;-;-;357088;-;-;-;-;-;-;43000;-;-;-;-;-;-;41096;-;-;-;-;-;-
31.12.2006;10-Jährige;370609;-;-;-;-;-;-;350761;-;-;-;-;-;-;41839;-;-;-;-;-;-;40135;-;-;-;-;-;-
31.12.2006;11-Jährige;359113;-;-;-;-;-;-;340636;-;-;-;-;-;-;40359;-;-;-;-;-;-;38969;-;-;-;-;-;-
31.12.2006;12-Jährige;363469;-;-;-;-;-;-;344017;-;-;-;-;-;-;41918;-;-;-;-;-;-;39841;-;-;-;-;-;-
31.12.2006;13-Jährige;378666;-;-;-;-;-;-;358770;-;-;-;-;-;-;43045;-;-;-;-;-;-;41193;-;-;-;-;-;-
31.12.2006;14-Jährige;387595;-;-;-;-;-;-;369088;-;-;-;-;-;-;44280;-;-;-;-;-;-;42081;-;-;-;-;-;-
31.12.2006;15-Jährige;405680;-;1;-;-;-;-;385510;7;2;2;-;-;-;44056;-;-;-;-;-;-;41852;9;-;1;-;-;-
31.12.2006;16-Jährige;450672;2;1;-;-;-;-;427095;28;3;5;-;-;-;45355;3;-;1;-;-;-;42937;66;1;1;-;-;-
31.12.2006;17-Jährige;443844;6;-;-;-;-;-;422579;185;10;5;-;-;-;46530;20;-;1;-;-;-;43902;404;1;7;-;-;-
31.12.2006;18-Jährige;458725;167;2;2;-;-;-;434028;1776;7;9;-;-;-;47382;127;1;3;-;-;-;43801;1391;1;2;-;-;-
31.12.2006;19-Jährige;450435;822;1;8;-;-;-;422879;5057;18;36;-;-;-;47520;483;2;4;-;-;-;43536;3330;6;19;-;-;-
31.12.2006;20-Jährige;442445;2104;4;23;-;-;-;414595;10428;28;168;-;-;-;47645;1200;1;19;-;-;-;43913;5753;11;59;-;-;-
31.12.2006;21-Jährige;425162;4705;7;94;-;-;-;393668;17496;42;480;-;-;-;49260;2284;5;59;-;-;-;45157;9156;23;160;-;-;-
31.12.2006;22-Jährige;420020;9099;17;205;-;-;-;380950;27947;63;1142;-;-;-;51134;4142;5;139;-;-;-;47272;12367;26;429;-;-;-
31.12.2006;23-Jährige;415661;15714;24;499;-;-;-;370240;41782;101;2196;-;-;-;53795;6349;10;320;-;-;-;48511;16125;40;668;-;-;-
31.12.2006;24-Jährige;416043;24722;24;1073;-;-;-;360184;59417;180;3958;-;-;-;57374;9364;15;652;-;-;-;50538;20406;71;1103;-;-;-
31.12.2006;25-Jährige;398814;35977;43;1882;-;-;-;336780;79055;257;6208;-;-;-;58244;12382;25;1071;-;-;-;49951;24585;116;1685;-;-;-
31.12.2006;26-Jährige;384995;50093;74;3069;-;-;-;314436;100163;349;8688;-;-;-;59352;15929;36;1650;-;-;-;49523;28279;127;2257;-;-;-
31.12.2006;27-Jährige;346500;63942;96;4543;-;-;-;271048;116905;440;11189;-;-;-;56428;19001;44;2299;-;-;-;47132;30675;201;2868;-;-;-
31.12.2006;28-Jährige;321542;81286;121;6272;-;-;-;243332;136126;591;13799;-;-;-;55217;21233;55;2840;-;-;-;44533;32643;227;3522;-;-;-
31.12.2006;29-Jährige;297591;98768;151;8370;-;-;-;218416;153764;811;16726;-;-;-;52713;23639;72;3579;-;-;-;43510;33866;272;4135;-;-;-
31.12.2006;30-Jährige;268581;116287;197;10654;-;-;-;192259;170451;871;19549;-;-;-;53451;25146;84;4462;-;-;-;42344;34678;346;4819;-;-;-
31.12.2006;31-Jährige;239877;130842;260;12917;-;-;-;166025;180500;1106;22251;-;-;-;53286;25951;127;5222;-;-;-;42275;34820;366;5487;-;-;-
31.12.2006;32-Jährige;225176;148692;303;15733;-;-;-;153813;197045;1297;25914;-;-;-;51109;27276;125;6138;-;-;-;40218;36528;492;6010;-;-;-
31.12.2006;33-Jährige;211092;166838;384;19145;-;-;-;142140;211466;1596;29577;-;-;-;49859;26481;155;6785;-;-;-;40022;35630;491;6327;-;-;-
31.12.2006;34-Jährige;220389;200070;506;24481;-;-;-;146656;245222;2065;35831;-;-;-;49204;26924;235;7786;-;-;-;38270;36617;578;6404;-;-;-
31.12.2006;35-Jährige;233296;238966;700;31381;-;-;-;153794;284458;2603;44225;-;-;-;47479;26043;237;8454;-;-;-;36122;35701;556;6609;-;-;-
31.12.2006;36-Jährige;230285;261812;869;37475;-;-;-;149295;307192;3255;50674;-;-;-;49149;26774;241;9393;-;-;-;34183;36741;629;6770;-;-;-
31.12.2006;37-Jährige;231787;301583;1076;46032;-;-;-;149667;343048;3888;60349;-;-;-;44953;26990;309;9853;-;-;-;30964;35803;716;6826;-;-;-
31.12.2006;38-Jährige;230514;330277;1370;53746;-;-;-;148619;368869;4606;68848;-;-;-;41297;27585;365;10066;-;-;-;26595;36529;755;6720;-;-;-
31.12.2006;39-Jährige;220296;355702;1641;61017;-;-;-;142537;389681;5565;76660;-;-;-;35526;28120;375;9525;-;-;-;21324;36145;845;6495;-;-;-
31.12.2006;40-Jährige;209180;379447;1990;68104;-;-;-;135079;407948;6729;84281;-;-;-;34815;29708;395;10049;-;-;-;18553;37299;927;6723;-;-;-
31.12.2006;41-Jährige;197682;390717;2254;75294;-;-;-;125242;414674;8083;90104;-;-;-;32109;32302;480;10670;-;-;-;16028;37878;1006;6611;-;-;-
31.12.2006;42-Jährige;187464;407200;2666;82694;-;-;-;118407;429865;9323;97339;-;-;-;27692;34486;521;10047;-;-;-;13040;37709;1102;6835;-;-;-
31.12.2006;43-Jährige;173521;414792;3093;87213;-;-;-;109032;435662;10932;100615;-;-;-;23304;35751;542;9565;-;-;-;10724;36670;1142;6192;-;-;-
31.12.2006;44-Jährige;156095;409790;3503;89368;-;-;-;96647;429757;12370;100528;-;-;-;19756;34352;518;9616;-;-;-;8830;35719;1233;6264;-;-;-
31.12.2006;45-Jährige;143269;413442;3820;91958;-;-;-;87698;433367;14189;101715;-;-;-;15573;31865;542;8828;-;-;-;7045;33440;1276;5816;-;-;-
31.12.2006;46-Jährige;129548;404438;4246;91269;-;-;-;78233;423967;16072;98472;-;-;-;15235;34602;638;9461;-;-;-;6521;35469;1566;6231;-;-;-
31.12.2006;47-Jährige;114383;404380;4815;90750;-;-;-;68591;418653;17371;95577;-;-;-;11688;32725;514;8470;-;-;-;5570;32782;1470;5642;-;-;-
31.12.2006;48-Jährige;101989;389220;5154;85831;-;-;-;61028;400640;18663;89290;-;-;-;10248;32735;676;8139;-;-;-;4814;31703;1482;5446;-;-;-
31.12.2006;49-Jährige;91855;388365;5802;84400;-;-;-;56106;396425;20787;86749;-;-;-;8397;32517;674;8091;-;-;-;4091;30689;1721;5087;-;-;-
31.12.2006;50-Jährige;83624;382858;6257;80299;-;-;-;50760;389225;22376;83217;-;-;-;7575;33875;721;8129;-;-;-;3996;32259;1902;5210;-;-;-
31.12.2006;51-Jährige;75330;378079;6784;77049;-;-;-;45900;380206;24582;79542;-;-;-;6694;31749;772;7169;-;-;-;3585;33210;2193;5245;-;-;-
31.12.2006;52-Jährige;69151;375773;7329;75267;-;-;-;42826;377358;26800;78353;-;-;-;5636;29129;720;6599;-;-;-;3376;33583;2385;5074;-;-;-
31.12.2006;53-Jährige;63131;369169;7924;71559;-;-;-;38881;369317;28884;74809;-;-;-;4723;26847;674;5911;-;-;-;3040;32477;2352;4823;-;-;-
31.12.2006;54-Jährige;59135;374577;8654;69021;-;-;-;36320;369448;32212;73243;-;-;-;4617;27628;720;5987;-;-;-;3110;34445;2756;5110;-;-;-
31.12.2006;55-Jährige;53773;372237;9205;66127;-;-;-;32989;365132;34966;70848;-;-;-;3844;27441;786;5474;-;-;-;2732;32036;2741;4601;-;-;-
31.12.2006;56-Jährige;51547;372813;10309;63989;-;-;-;31147;363506;38929;68997;-;-;-;3986;31981;1041;5848;-;-;-;2941;35807;3556;4762;-;-;-
31.12.2006;57-Jährige;45032;365098;10950;60008;-;-;-;27516;351340;41551;64002;-;-;-;3747;33005;1034;5539;-;-;-;2562;33786;3410;4448;-;-;-
31.12.2006;58-Jährige;39078;334963;10843;53610;-;-;-;23899;319277;42016;57722;-;-;-;3579;34178;1142;5307;-;-;-;2307;31919;3560;4207;-;-;-
31.12.2006;59-Jährige;34384;313485;11322;48627;-;-;-;21079;301779;43681;52906;-;-;-;3289;34922;1158;4925;-;-;-;2137;29555;3541;3933;-;-;-
31.12.2006;60-Jährige;29341;272435;10970;41402;-;-;-;17806;262241;41683;45782;-;-;-;2763;32383;1166;4402;-;-;-;1789;25782;3482;3325;-;-;-
31.12.2006;61-Jährige;25001;238007;10815;35555;-;-;-;16009;230478;40898;40307;-;-;-;2341;29316;1156;3524;-;-;-;1546;23152;3417;2888;-;-;-
31.12.2006;62-Jährige;32301;332090;15550;44760;-;-;-;20440;315825;58481;52003;-;-;-;2229;27339;1191;3334;-;-;-;1406;20822;3499;2645;-;-;-
31.12.2006;63-Jährige;32186;339438;17549;43358;-;-;-;21035;319611;64217;51650;-;-;-;2002;26598;1223;3107;-;-;-;1267;18600;3316;2477;-;-;-
31.12.2006;64-Jährige;30699;327751;18784;39690;-;-;-;21211;306410;69528;47991;-;-;-;2000;27614;1201;2996;-;-;-;1201;18227;3589;2343;-;-;-
31.12.2006;65-Jährige;36357;403495;24781;44375;-;-;-;25164;374216;94363;55456;-;-;-;1726;24991;1311;2813;-;-;-;1257;15523;3605;2271;-;-;-
31.12.2006;66-Jährige;36432;421470;29349;43177;-;-;-;26500;386755;112792;55458;-;-;-;1695;26101;1561;2852;-;-;-;1188;16063;4204;2201;-;-;-
31.12.2006;67-Jährige;33386;414030;30502;38813;-;-;-;26459;374928;121162;51511;-;-;-;1499;23487;1402;2493;-;-;-;1064;13582;3964;1957;-;-;-
31.12.2006;68-Jährige;29427;382158;31426;33410;-;-;-;25625;338898;125592;45424;-;-;-;1427;21767;1399;2205;-;-;-;1108;12720;4027;1944;-;-;-
31.12.2006;69-Jährige;25675;353196;31629;28522;-;-;-;24807;306572;129269;40149;-;-;-;1375;18829;1315;1888;-;-;-;993;11097;3823;1739;-;-;-
31.12.2006;70-Jährige;23645;337092;33414;25529;-;-;-;24671;288994;139080;36724;-;-;-;1134;16362;1202;1711;-;-;-;842;9516;3781;1531;-;-;-
31.12.2006;71-Jährige;20960;319942;35418;22481;-;-;-;24340;265976;148095;33455;-;-;-;953;13563;1016;1374;-;-;-;765;7918;3695;1291;-;-;-
31.12.2006;72-Jährige;17795;288473;35305;19206;-;-;-;23174;234368;150317;29691;-;-;-;900;13037;1201;1325;-;-;-;705;6970;3353;1134;-;-;-
31.12.2006;73-Jährige;13581;222847;30329;13751;-;-;-;19582;177048;130997;22135;-;-;-;853;11650;1098;1158;-;-;-;622;6415;3263;1102;-;-;-
31.12.2006;74-Jährige;12348;214706;32667;12456;-;-;-;20372;167197;139427;20983;-;-;-;639;9269;992;964;-;-;-;544;5608;3015;953;-;-;-
31.12.2006;75-Jährige;11672;209709;35794;11053;-;-;-;21780;159813;152325;20428;-;-;-;607;8038;896;853;-;-;-;526;4455;3054;826;-;-;-
31.12.2006;76-Jährige;11461;208240;40865;10575;-;-;-;23673;153883;171522;20791;-;-;-;574;7191;935;714;-;-;-;554;4447;3431;850;-;-;-
31.12.2006;77-Jährige;9989;190807;41415;9060;-;-;-;24212;139471;172749;19530;-;-;-;514;5726;816;652;-;-;-;527;3814;2938;766;-;-;-
31.12.2006;78-Jährige;8915;177051;43201;8434;-;-;-;24772;125517;178289;18820;-;-;-;379;4972;764;607;-;-;-;494;2995;2970;668;-;-;-
31.12.2006;79-Jährige;7437;147153;40636;6655;-;-;-;24547;107788;175819;16985;-;-;-;468;4272;757;429;-;-;-;479;2753;3135;594;-;-;-
31.12.2006;80-Jährige;6225;126171;38553;5649;-;-;-;25658;94328;183944;17029;-;-;-;393;3562;766;437;-;-;-;431;2298;2948;583;-;-;-
31.12.2006;81-Jährige;5501;107697;37728;4782;-;-;-;26988;79602;190722;16551;-;-;-;381;3094;647;374;-;-;-;452;1961;3020;549;-;-;-
31.12.2006;82-Jährige;4505;84320;31889;3890;-;-;-;25744;66050;181695;14634;-;-;-;318;2842;580;375;-;-;-;374;1792;2786;484;-;-;-
31.12.2006;83-Jährige;3852;70958;31227;3415;-;-;-;24669;53090;175974;13468;-;-;-;303;2293;609;310;-;-;-;429;1455;2682;455;-;-;-
31.12.2006;84-Jährige;3768;64652;31823;3002;-;-;-;23471;44208;176641;13392;-;-;-;247;2121;591;300;-;-;-;347;1163;2603;361;-;-;-
31.12.2006;85 Jahre und mehr;20889;181719;179093;13472;-;-;-;109952;120708;908252;54772;-;-;-;2763;11341;5226;1550;-;-;-;3174;5929;18720;2101;-;-;-
31.12.2007;unter 1 Jahr;336274;-;-;-;-;-;-;318440;-;-;-;-;-;-;15768;-;-;-;-;-;-;15013;-;-;-;-;-;-
31.12.2007;1-Jährige;331996;-;-;-;-;-;-;314464;-;-;-;-;-;-;15459;-;-;-;-;-;-;14223;-;-;-;-;-;-
31.12.2007;2-Jährige;337438;-;-;-;-;-;-;320561;-;-;-;-;-;-;16003;-;-;-;-;-;-;15179;-;-;-;-;-;-
31.12.2007;3-Jährige;344095;-;-;-;-;-;-;326914;-;-;-;-;-;-;19296;-;-;-;-;-;-;18037;-;-;-;-;-;-
31.12.2007;4-Jährige;343860;-;-;-;-;-;-;326315;-;-;-;-;-;-;20225;-;-;-;-;-;-;19484;-;-;-;-;-;-
31.12.2007;5-Jährige;349467;-;-;-;-;-;-;331796;-;-;-;-;-;-;21602;-;-;-;-;-;-;20409;-;-;-;-;-;-
31.12.2007;6-Jährige;356851;-;-;-;-;-;-;338743;-;-;-;-;-;-;22529;-;-;-;-;-;-;21263;-;-;-;-;-;-
31.12.2007;7-Jährige;370509;-;-;-;-;-;-;354351;-;-;-;-;-;-;24395;-;-;-;-;-;-;23314;-;-;-;-;-;-
31.12.2007;8-Jährige;358788;-;-;-;-;-;-;338938;-;-;-;-;-;-;39671;-;-;-;-;-;-;37857;-;-;-;-;-;-
31.12.2007;9-Jährige;365288;-;-;-;-;-;-;346717;-;-;-;-;-;-;40874;-;-;-;-;-;-;38918;-;-;-;-;-;-
31.12.2007;10-Jährige;376975;-;-;-;-;-;-;357607;-;-;-;-;-;-;42225;-;-;-;-;-;-;40318;-;-;-;-;-;-
31.12.2007;11-Jährige;371155;-;-;-;-;-;-;351255;-;-;-;-;-;-;41208;-;-;-;-;-;-;39476;-;-;-;-;-;-
31.12.2007;12-Jährige;359697;-;-;-;-;-;-;341165;-;-;-;-;-;-;39818;-;-;-;-;-;-;38442;-;-;-;-;-;-
31.12.2007;13-Jährige;364059;-;-;-;-;-;-;344598;-;-;-;-;-;-;41362;-;-;-;-;-;-;39402;-;-;-;-;-;-
31.12.2007;14-Jährige;379215;-;-;-;-;-;-;359310;-;-;-;-;-;-;42405;-;-;-;-;-;-;40680;-;-;-;-;-;-
31.12.2007;15-Jährige;388171;-;-;-;-;-;-;369713;5;1;3;-;-;-;43768;-;-;-;-;-;-;41567;13;-;-;-;-;-
31.12.2007;16-Jährige;406386;-;2;-;-;-;-;386235;26;1;5;-;-;-;43766;6;-;-;-;-;-;41645;39;-;1;-;-;-
31.12.2007;17-Jährige;451149;-;1;-;-;-;-;427856;114;4;3;-;-;-;45101;10;1;2;-;-;-;42550;233;1;2;-;-;-
31.12.2007;18-Jährige;444688;145;1;-;-;-;-;422483;1506;16;11;-;-;-;46485;90;-;4;-;-;-;43668;1028;2;15;-;-;-
31.12.2007;19-Jährige;459902;711;3;10;-;-;-;433069;4732;20;36;-;-;-;48351;374;1;8;-;-;-;44460;2733;3;22;-;-;-
31.12.2007;20-Jährige;450252;2139;3;30;-;-;-;419634;9665;34;148;-;-;-;49357;983;2;12;-;-;-;45634;4957;7;74;-;-;-
31.12.2007;21-Jährige;440575;4653;7;86;-;-;-;408931;16781;44;490;-;-;-;49612;1917;2;46;-;-;-;45673;7612;20;144;-;-;-
31.12.2007;22-Jährige;421747;8512;12;222;-;-;-;385393;25918;67;1053;-;-;-;51045;3410;6;142;-;-;-;46615;11131;27;296;-;-;-
31.12.2007;23-Jährige;414783;14355;25;472;-;-;-;369768;38631;94;2103;-;-;-;52923;5451;7;307;-;-;-;48251;14432;38;661;-;-;-
31.12.2007;24-Jährige;408271;22882;34;962;-;-;-;356288;54702;140;3527;-;-;-;54985;7767;11;547;-;-;-;48699;18197;51;1016;-;-;-
31.12.2007;25-Jährige;405898;34304;41;1852;-;-;-;342720;75113;234;5632;-;-;-;57380;11087;15;964;-;-;-;49948;22412;95;1597;-;-;-
31.12.2007;26-Jährige;386147;47621;52;2910;-;-;-;317724;95943;337;8280;-;-;-;57448;13974;29;1526;-;-;-;48768;26218;139;2307;-;-;-
31.12.2007;27-Jährige;369926;63879;89;4305;-;-;-;294269;117826;438;11008;-;-;-;58027;17426;41;2171;-;-;-;48190;29721;152;2937;-;-;-
31.12.2007;28-Jährige;330414;78327;118;6165;-;-;-;251954;133332;543;13711;-;-;-;54967;20276;48;2921;-;-;-;46162;31553;241;3512;-;-;-
31.12.2007;29-Jährige;304096;96836;154;8134;-;-;-;225356;151527;705;16441;-;-;-;53363;22064;69;3546;-;-;-;43276;33234;265;4300;-;-;-
31.12.2007;30-Jährige;279150;115203;168;10414;-;-;-;201222;168230;953;19447;-;-;-;51003;23987;81;4345;-;-;-;42457;33940;308;4955;-;-;-
31.12.2007;31-Jährige;252159;130753;232;12936;-;-;-;178164;182068;1002;22451;-;-;-;51858;25284;85;5200;-;-;-;41413;34367;371;5587;-;-;-
31.12.2007;32-Jährige;224958;143642;311;15292;-;-;-;154511;189684;1285;25066;-;-;-;51737;25764;138;6094;-;-;-;41583;34252;415;6213;-;-;-
31.12.2007;33-Jährige;211294;160321;361;18364;-;-;-;143908;204664;1464;28877;-;-;-;49857;26762;139;6961;-;-;-;39806;35711;533;6652;-;-;-
31.12.2007;34-Jährige;198726;176917;438;21924;-;-;-;134071;217142;1817;32543;-;-;-;48577;25539;181;7609;-;-;-;39439;34504;549;7026;-;-;-
31.12.2007;35-Jährige;208543;209199;585;27624;-;-;-;139077;250072;2299;39084;-;-;-;48077;25967;259;8494;-;-;-;37876;35475;614;7142;-;-;-
31.12.2007;36-Jährige;221776;247381;791;34783;-;-;-;146976;287899;2901;47888;-;-;-;46356;25092;266;9145;-;-;-;35807;34462;622;7254;-;-;-
31.12.2007;37-Jährige;220069;268709;974;40961;-;-;-;143652;309295;3582;54385;-;-;-;48030;25443;265;10099;-;-;-;33998;35477;686;7448;-;-;-
31.12.2007;38-Jährige;222749;306962;1211;49813;-;-;-;144776;343814;4295;64396;-;-;-;44114;25742;345;10519;-;-;-;30798;34480;772;7502;-;-;-
31.12.2007;39-Jährige;222407;334072;1514;57637;-;-;-;144378;368374;5139;73165;-;-;-;40619;26448;399;10728;-;-;-;26446;35383;802;7275;-;-;-
31.12.2007;40-Jährige;212914;358637;1832;64826;-;-;-;138710;389025;6132;80703;-;-;-;35000;27204;398;10124;-;-;-;21285;34965;895;7057;-;-;-
31.12.2007;41-Jährige;203325;380391;2174;72287;-;-;-;132380;405341;7366;88895;-;-;-;34312;28381;428;10688;-;-;-;18538;36128;1010;7227;-;-;-
31.12.2007;42-Jährige;192784;390387;2499;79411;-;-;-;123056;411370;8856;94663;-;-;-;31788;30914;519;11295;-;-;-;16026;36673;1086;7162;-;-;-
31.12.2007;43-Jährige;183285;406015;2934;86712;-;-;-;116527;426265;10129;101710;-;-;-;27458;33113;562;10638;-;-;-;13033;36693;1165;7366;-;-;-
31.12.2007;44-Jährige;169858;412725;3413;91266;-;-;-;107424;432006;11954;104498;-;-;-;23089;34618;580;10145;-;-;-;10754;35722;1228;6598;-;-;-
31.12.2007;45-Jährige;153034;407369;3844;93068;-;-;-;95298;425718;13438;104273;-;-;-;19622;33181;555;10113;-;-;-;8875;34859;1351;6677;-;-;-
31.12.2007;46-Jährige;140777;410547;4183;95319;-;-;-;86516;429244;15426;105080;-;-;-;15524;30759;559;9258;-;-;-;7115;32589;1397;6266;-;-;-
31.12.2007;47-Jährige;127333;401375;4656;94396;-;-;-;77234;420042;17465;101289;-;-;-;15141;33463;662;9914;-;-;-;6619;34585;1717;6667;-;-;-
31.12.2007;48-Jährige;112333;401104;5214;93602;-;-;-;67655;414927;18908;97922;-;-;-;11771;31824;562;8853;-;-;-;5650;31981;1591;5968;-;-;-
31.12.2007;49-Jährige;100225;386145;5585;88110;-;-;-;60180;397202;20297;91075;-;-;-;10273;31740;738;8480;-;-;-;4877;30997;1603;5759;-;-;-
31.12.2007;50-Jährige;90051;385808;6311;85886;-;-;-;55233;393427;22454;87910;-;-;-;8461;31543;728;8414;-;-;-;4152;30015;1852;5361;-;-;-
31.12.2007;51-Jährige;82205;379585;6822;81950;-;-;-;50216;385319;24312;84611;-;-;-;7602;33038;769;8429;-;-;-;4074;31619;2073;5466;-;-;-
31.12.2007;52-Jährige;74001;374801;7367;78379;-;-;-;45381;376481;26638;80495;-;-;-;6737;30781;806;7471;-;-;-;3672;32518;2394;5503;-;-;-
31.12.2007;53-Jährige;67910;372455;7939;76237;-;-;-;42355;373732;28951;79115;-;-;-;5685;28349;764;6757;-;-;-;3420;32828;2591;5271;-;-;-
